Alloys (compostion);Tg(K);Tx(K);Tl(K);Dmax (mm)
Cu52.5 Zr40 Ga7.5;744;777;1218;1.5
Cu54 Zr33 Ag6 Ti7;709;738;1135;6
Cu54.5 Ca27.3 Mg18.2;401;423;884;1
Cu55 Zr30 Ti10 Ag5;704;733;1149;3
Cu55 Zr40 Ga5;736;779;1193;2
Cu57.5 Zr37.5 Ga5;745;785;1241;1
Cu60 Hf20 Ti20;740;767;1211;4
Cu42.5 Zr40 Ga7.5;744;777;1218;1.5
(Cu60 Hf25 Ti15)92 Nb8;745;783;1198;2.5
(Cu60 Hf25 Ti15)96 Nb4;747;789;1188;4
Cu60 Ti22.5 Hf17.5;732;755;1229;3
(Cu60 Zr30 Ti10)90 Be10;720;762;1130;5
(Cu60 Zr30 Ti10)99 Sn1;730;776;1155;5
